route,distance,store,client
"['store', 'client']",[3.565371498214394],"(40.41101822870703, -79.91054922095948)","(40.43827740266757, -79.93275008691026)"
"['store', '6', '39', 'client']",[17.09265523742282],"(40.41101822870703, -79.91054922095948)","(40.55011879339594, -79.99116421471734)"
"['store', 'client']",[6.976041274624437],"(40.41101822870703, -79.91054922095948)","(40.46813380414001, -79.94479163705445)"
"['store', 'client']",[6.297675867276623],"(40.41101822870703, -79.91054922095948)","(40.46581830474332, -79.92966842014673)"
"['store', 'client']",[6.241939374341883],"(40.41101822870703, -79.91054922095948)","(40.40340038636238, -79.98340539202513)"
"['store', 'client']",[7.111918338780349],"(40.41101822870703, -79.91054922095948)","(40.40872868488808, -79.99428250187587)"
"['store', 'client']",[4.505220554179711],"(40.41101822870703, -79.91054922095948)","(40.43725159973479, -79.9510468249365)"
"['store', 'client']",[7.63315102532456],"(40.41101822870703, -79.91054922095948)","(40.469641203752296, -79.9575315516018)"
"['store', '56', 'client']",[12.761679313554147],"(40.41101822870703, -79.91054922095948)","(40.39310966391656, -80.05637739478159)"
"['store', '56', 'client']",[11.184803164662885],"(40.41101822870703, -79.91054922095948)","(40.39167353302887, -80.03640911851019)"
"['store', '56', 'client']",[11.735023181091156],"(40.41101822870703, -79.91054922095948)","(40.43377646930153, -80.04556883887594)"
"['store', '11', 'client']",[12.46011140168188],"(40.41101822870703, -79.91054922095948)","(40.36143871546577, -80.03432639799102)"
"['store', 'client']",[6.681280621770791],"(40.41101822870703, -79.91054922095948)","(40.44776039851181, -79.97290013709647)"
"['store', 'client']",[7.267643466944597],"(40.41101822870703, -79.91054922095948)","(40.476353005640895, -79.91560387826796)"
"['store', 'client']",[9.98227581623111],"(40.41101822870703, -79.91054922095948)","(40.39502681923046, -80.02626486776488)"
"['store', '14', '10', 'client']",[21.82252682829448],"(40.41101822870703, -79.91054922095948)","(40.48309115608851, -80.12710842321088)"
"['store', '33', '58', 'client']",[24.193036357363457],"(40.41101822870703, -79.91054922095948)","(40.6189652477924, -79.86207661071563)"
"['store', 'client']",[6.627444211738038],"(40.41101822870703, -79.91054922095948)","(40.46817910471785, -79.93301931981149)"
"['store', '15', 'client']",[17.202232892535037],"(40.41101822870703, -79.91054922095948)","(40.52489228367296, -79.77487927809106)"
"['store', 'client']",[8.49544622811918],"(40.41101822870703, -79.91054922095948)","(40.48627530591944, -79.92856837370435)"
"['store', '14', 'client']",[14.635031446156102],"(40.41101822870703, -79.91054922095948)","(40.36911686107478, -80.06449818807332)"
"['store', '11', '12', 'client']",[21.02010601184619],"(40.41101822870703, -79.91054922095948)","(40.26719832326211, -79.88949047052161)"
"['store', '6', 'client']",[10.612000716799797],"(40.41101822870703, -79.91054922095948)","(40.501962806466686, -79.93769726006988)"
"['store', 'client']",[5.196576204229781],"(40.41101822870703, -79.91054922095948)","(40.4427248998375, -79.95558931944194)"
"['store', '15', 'client']",[18.249275507574275],"(40.41101822870703, -79.91054922095948)","(40.54333197454064, -79.78291154629851)"
"['store', 'client']",[9.853487969701678],"(40.41101822870703, -79.91054922095948)","(40.49398480729558, -79.95174868095181)"
"['store', '15', 'client']",[13.729875317368402],"(40.41101822870703, -79.91054922095948)","(40.51650079231155, -79.82809120570197)"
"['store', 'client']",[5.796455537314097],"(40.41101822870703, -79.91054922095948)","(40.46034590417914, -79.9328984373344)"
"['store', 'client']",[4.63486719035508],"(40.41101822870703, -79.91054922095948)","(40.4495810035951, -79.93144985911671)"
"['store', '14', 'client']",[14.764093563909434],"(40.41101822870703, -79.91054922095948)","(40.38667339139738, -80.07751909511246)"
"['store', '14', 'client']",[13.188357005755478],"(40.41101822870703, -79.91054922095948)","(40.39703617533106, -80.06231990868649)"
"['store', 'client']",[5.455084844378848],"(40.41101822870703, -79.91054922095948)","(40.42488171847593, -79.84888663681019)"
